make,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,Nm/kgm,rpm,seats,country
Maruti,Swift,2014,450000,145500,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Skoda,Rapid,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21,1498,104,250,2500,5,Czech Republic
Honda,City,2006,158000,140000,Petrol,Individual,Manual,Third Owner,18,1497,78,13,2700,5,Japan
Hyundai,i20,2010,225000,127000,Diesel,Individual,Manual,First Owner,23,1396,90,22,2250,5,South Korea
Maruti,Swift,2007,130000,120000,Petrol,Individual,Manual,First Owner,16,1298,88,12,4500,5,India
Hyundai,Xcent,2017,440000,45000,Petrol,Individual,Manual,First Owner,20,1197,82,114,4000,5,South Korea
Maruti,Wagon,2007,96000,175000,LPG,Individual,Manual,First Owner,17,1061,58,8,4500,5,India
Maruti,800,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16,796,37,59,2500,4,India
Toyota,Etios,2011,350000,90000,Diesel,Individual,Manual,First Owner,24,1364,67,170,2400,5,Japan
Ford,Figo,2013,200000,169000,Diesel,Individual,Manual,First Owner,20,1399,68,160,2000,5,United States
Renault,Duster,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19,1461,108,248,2250,5,France
Maruti,Zen,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17,993,60,78,4500,5,India
Maruti,Swift,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19,1248,74,190,2000,5,India
Maruti,Swift,2007,200000,80000,Petrol,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Maruti,Wagon,2009,180000,90000,Petrol,Individual,Manual,Second Owner,19,1061,67,84,3500,5,India
Mahindra,KUV,2016,400000,40000,Petrol,Individual,Manual,First Owner,18,1198,82,115,3600,5,India
Maruti,Ertiga,2016,778000,70000,Diesel,Individual,Manual,Second Owner,25,1248,88,200,1750,7,India
